formula_id,family,primary_subject,name_en,name_zh,unit,precision,expression,latex,math_type,math_types,modes,sample_count
CMF001,carbon_nitrogen_cycle,carbon-nitrogen cycling photosynthesis,carbon-nitrogen cycling CO2 fertilization factor,作物二氧化碳施肥因子,multiplier,3,1 + Coef_B_CO2 * ln(CO2 / 340),F_{CO2}=1+B\ln(CO2/340),Logarithmic,Logarithmic,direct;sensitivity,14
CMF002,carbon_nitrogen_cycle,carbon-nitrogen cycling photosynthesis,carbon-nitrogen cycling gross primary production,总初级生产力,g C/m2/day,3,Photo_Rate_opt * F_T * F_Water * F_CO2 * Day_Length_hour * 0.0432,GPP=P_{opt}F_TF_WF_{CO2}DL\cdot0.0432,Multiplicative conversion,Multiplicative conversion,sensitivity;direct;chain_2,20
CMF003,carbon_nitrogen_cycle,Nitrogen,Nitrogen use efficiency,氮利用效率,kg grain/kg N,2,GrainYield / NUptake,NUE=\frac{GrainYield}{NUptake},Ratio,Ratio,direct;sensitivity,14
CMF004,carbon_nitrogen_cycle,carbon-nitrogen cycling nitrogen,carbon-nitrogen cycling crop nitrogen demand,作物需氮量,g N/m2/day,3,"if NPP<0: 0; if N_shoot<3.5 and DVI<0.3: Coef_Plant_TN_uptake*N_shoot; else: min(N_requirement_max_day, Ratio_N_C_photo_product*NPP)","N_d=C_uN_{shoot}\;\text{or}\;\min(N_{max},r_NNPP)",Piecewise minimum,Piecewise minimum,chain_2;direct;branch;sensitivity,25
CMF005,carbon_nitrogen_cycle,carbon-nitrogen cycling nitrogen,carbon-nitrogen cycling shoot nitrogen allocation,地上部氮分配量,g N/m2,3,Plant_TN_uptake * Biom_shoot / (Biom_shoot + Biom_root),N_{shoot}=N_{uptake}\frac{B_{shoot}}{B_{shoot}+B_{root}},Biomass-weighted allocation,Biomass-weighted allocation,sensitivity;direct,13
CMF006,carbon_nitrogen_cycle,carbon-nitrogen cycling photosynthesis,carbon-nitrogen cycling canopy absorbed PAR,冠层吸收光合有效辐射,umol/m2/s,2,Radi * 0.44 * 4.6 * (1-Coef_rou) * (1-exp(-Coef_K*LAI)) / (Coef_K*LAI),PAR=Radi\cdot0.44\cdot4.6(1-\rho)\frac{1-e^{-KLAI}}{KLAI},Exponential ratio,Exponential ratio,direct;chain_2;sensitivity,19
CMF007,carbon_nitrogen_cycle,carbon-nitrogen cycling photosynthesis,carbon-nitrogen cycling optimal photosynthetic rate,最适光合速率,umol CO2/m2/s,3,(Coef_alfa * Leaf_N) * PAR / (PAR + Coef_beta),P_{opt}=\alpha N_{leaf}\frac{PAR}{PAR+\beta},Michaelis-Menten response,Michaelis-Menten response,sensitivity;chain_2;direct,21
CMF008,carbon_nitrogen_cycle,carbon-nitrogen cycling respiration,carbon-nitrogen cycling plant maintenance respiration,植株维持呼吸,g C/m2/day,3,0.0432*24*(Biom_plant_yesterday/0.45)*Coef_Rm*2^((Tmn-25)/10) / (if DVI>1: DVI^2; else: 1),R_m=0.0432\cdot24(Biom/0.45)C_m2^{(T-25)/10},Q10 with DVI correction,Q10 with DVI correction,branch;direct;sensitivity,20
CMF009,carbon_nitrogen_cycle,carbon-nitrogen cycling soil carbon,carbon-nitrogen cycling carbon pool respiration loss,碳库呼吸损失,g C/m2/day,3,Pool*Coef_K_Decom*F_temp*F_water*F_texture*F_pH*F_notill*(1-Coef_K_Trans),R=PoolK F_TF_WF_{texture}F_{pH}F_{notill}(1-K_{trans}),Chained multiplicative decomposition,Chained multiplicative decomposition,direct;sensitivity;chain_2,19
CMF010,carbon_nitrogen_cycle,carbon-nitrogen cycling soil carbon,carbon-nitrogen cycling soil pH decomposition factor,土壤pH分解因子,fraction,3,1 / (1 + exp(2.5 * (5 - pH))),F_{pH}=\frac{1}{1+e^{2.5(5-pH)}},Logistic,Logistic,direct;sensitivity,13
CMF011,carbon_nitrogen_cycle,carbon-nitrogen cycling soil carbon,carbon-nitrogen cycling soil carbon temperature factor,土壤碳分解温度因子,multiplier,3,if is_soil_temp>=0.5: 2.4**((Temp-10)*0.1); else: 2.4**((4.4+0.76*Temp-10)*0.1),F_T=2.4^{(T_{soil}-10)/10}\;\text{where}\;T_{soil}=T\;\text{or}\;4.4+0.76T,Q10 temperature response,Q10 temperature response,sensitivity;direct;branch,18
CMF012,carbon_nitrogen_cycle,carbon-nitrogen cycling soil carbon,carbon-nitrogen cycling soil carbon water factor,土壤碳分解水分因子,fraction,3,if Soil_Water>=Saturate_Water: 0.65; else: 0.49*exp(3.88*(Soil_Water/BD)-5.4*(Soil_Water/BD)^2),F_W=0.49e^{3.88W-5.4W^2},Piecewise exponential,Piecewise exponential,sensitivity;branch;direct,20
